,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Top Review Image Url,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
0,Aer Lingus,2,“terrible customer service”,26th March 2025,False," Absolutely terrible customer service. Tried to upgrade from economy to business. Impossible to reach a person who could help, let phone ring for 52 minutes and gave up. Chat was just as bad as the AI could not help. Fortunately will never have to fly them again.",,,Couple Leisure,Economy Class,Paris to Dublin,March 2025,2.0,3.0,3.0,1.0,,3.0,1,no
1,Air France,10,"""excellent customer service""",28th March 2025,True,   My son was travelling on Kids Solo as an unaccompanied Minor with a 1h40 stop over in Paris. The departure from Dublin was delayed by 1 hour. The agents Mustafa and Laura at the check in counter went out of their way to arrange a new flight with KLM arriving half an hour earlier than the original flight. They were extremely helpful and understanding. We were very impressed with their professional approach and excellent customer service.,,,Family Leisure,Economy Class,Dublin to Singapore,March 2025,,,,5.0,,,5,yes
2,Air India,3,“it was not a pleasant experience”,26th March 2025,False," Recently travelled on Air India flight from Toronto to New Delhi. Trust me, any state transport operated buses are so much better as compared to Air India. Flight of around 14 hours with kids and there was no inflight entertainment. It was just not working for almost everyone on the flight. The seats were very uncomfortable. The trays were broken and literally put together using tapes at some places. The overhead reading lights were broken as well and had sharp edges which could easily cut fingers while trying to adjust them. The food quantity was very less it almost seemed like sample food for tasting and there was no variety. The airhostess was polite but inflight service was not good. Didn’t serve tea or coffee and just left the aisle in a hurry. Cold beverages were at room temperature. Flight hit turbulence way too many times. Overall it was not a pleasant experience and would definitely avoid it next time.",,,Family Leisure,Economy Class,Toronto to New Delhi,March 2025,1.0,3.0,1.0,4.0,1.0,1.0,1,no
3,Air India Express,1,"""not accountable for any damage""",23rd March 2025,True,"   No proper communication and very casual approach. Firstly the luggage bag went missing and upon receiving back it was damaged and torn and the contents of the bag were exposed. It was evident that the damage was due to mishandling. They refused to escalate the complaint and provide with a complaint number. Further when it was emailed, they said they are not accountable for any damage to luggage bag.",https://www.airlinequality.com/wp-content/uploads/2025/03/IMG-20250323-WA0005-500x500.jpg,,Family Leisure,Economy Class,Cochin to Delhi,March 2025,1.0,1.0,1.0,1.0,1.0,1.0,1,no
4,AirAsia X,2,"""flight is delay for 20 hours""",24th March 2025,True,"   Worse experience, my flight suppose to depart on 12th march 22.30, immigration was done ,after waiting for 4 hours, I went to the staff and found out that flight is delay for 20 hours, I was shocked ,there was no one to talk about it as nobody has any info about it. We were told either to get refund or go to hotel ,when I asked about connecting flight from KL I was told that I will depart tomorrow with them I have to stay 2 days in KL for connecting flight to Perth. Went to hotel and when we were about to leave for airport got another message saying flight is again 5 hours late. I booked another flight and applied for refund, since then nobody has contacted me.",,,Business,Economy Class,Amritsar to Perth via Kuala Lumpur,March 2025,1.0,1.0,1.0,1.0,,,1,no
5,American Airlines,1,"""delayed over 5 hours"" ",27th March 2025,True,   I have flown five flights with American Airlines in the last 4 months. Each one has been delayed over 5 hours for mechanical problems. When you contact American Airlines they don't care they just blow you off. They don't care that they're delaying you missing appointments and connections.,,,Business,Economy Class,Cincinnati to Chicago,March 2025,3.0,4.0,,1.0,,,1,no
6,American Airlines,1,“may as well be a greyhound station”,23rd March 2025,True,"   My flight was originally for 6:15 am, this flight was delayed. I was issued a new ticket that required me to be stranded in Phoenix Arizona for 11 hours. I was originally supposed to arrive at my destination (Minneapolis) at 2:14 pm. My 6 hour trip turned into an all day event. Also, I just got word that my flight to Phoenix is, once again, delayed. I spent a lot of money for this trip... this may as well be a greyhound station.",,,Solo Leisure,Economy Class,Fresno (FTS) to Minneapolis (MSP) ,March 2025,1.0,1.0,,1.0,,,1,no
7,Batik Air,1,"""frustrating and disappointing"" ",27th March 2025,True,"   Terrible experience with Batik Air – never again. I was charged for a ticket, but when I arrived at the airport, they couldn’t find my booking in the system. I had no choice but to purchase another ticket just to make it on time. The airport staff were completely unhelpful and told me to email customer service instead. I did – and waited over a month for a response, only to be told to call the service centre. When I called, they told me to email again. Seriously? I’ve been pushed back and forth with no proper support or accountability. The call centre staff were rude and offered zero assistance. This whole experience has been frustrating and disappointing. Never flying Batik Air again. Malaysia Airlines is way more reliable and professional.",,,Solo Leisure,Economy Class,Kuala Lumpur to Melbourne,February 2025,2.0,2.0,1.0,1.0,1.0,1.0,1,no
8,Breeze Airways,2,"""horrible customer service""",24th March 2025,True,"   Breeze has horrible customer service. I contacted them to cancel a reservation for someone in my party. The only way to contact them is via text. The customer service rep told me they would separate out the fare and give me partial credit. Come to find out, they never canceled the fare and when I contacted them again they told me I forfeited the fare. When I sent them the previous texts showing them why I was confused they did not offer any way for me to escalate the concern. Breeze is inexpensive but you take your chances of losing that money as they have no real customer service.",,,Family Leisure,Economy Class,Provo to Santa Ana,March 2025,4.0,5.0,,1.0,,,1,no
9,Cebu Pacific,1,"""suitcases had been left behind""",23rd March 2025,True,"   Our flight from Coron to Manila, originally scheduled for 11:20 AM, was delayed to 1:50 PM with no explanation. The airport was in total disarray: no information on the screens, no staff in sight, no Wi-Fi. When we finally boarded, we saw that luggage from the previous flight was still being offloaded, and the cabin was visibly dirty. After an unusually short flight of just over an hour, we were informed that 42 suitcases had been left behind due to technical issues. But the luggage was offloaded to lighten the aircraft and shorten the flight tim, keeping it under 3 hours, the legal threshold that would have required the airline to compensate passengers. As compensation, we were offered 1,000 Philippine pesos per bag (about €16), an amount that doesn’t even cover the bare essentials for two days without luggage. An insult more than a remedy. ",,,Couple Leisure,Economy Class,Coron to Manila,March 2025,1.0,1.0,,1.0,,,1,no
10,Cyprus Airways,10,“wonderful staff”,26th March 2025,False," I am beyond happy with the assistance I received from this airline and staff. I had back pain and an injury before my flight, and walking at the airport was very difficult for me. They immediately provided me with a wheelchair and a wonderful staff member who took care of me all the way until I boarded the plane. The ground staff, the crew, and the entire experience were absolutely perfect. I can’t believe how kind, helpful, and professional everyone was — I feel truly blessed. Thank you so much!",,,Solo Leisure,Economy Class,Dubai to Larnaca,March 2025,5.0,5.0,,5.0,5.0,,5,yes
11,Discover Airlines,1,"“for the price, definitely not worth it”",22nd March 2025,True," It all started when we checked in our luggage. We arrived at the Discover counter and only saw the Business Class check-in desks. Since we were flying Business, we headed there. A staff member standing in front told us we had to go around the corner to check in. That seemed possible, so we went there, but it turned out to be the Economy check-in. So, we returned and told the staff member that we needed to check in here since we were flying Business. His rude response: “You could have said that.” Well, it’s not our job to inform him—it’s his job to ask what class we’re flying. It didn’t get better from there. The check-in agent seemed completely uninterested and, at the end, simply stated a number while staring at us when we didn’t immediately understand what it meant. We had to figure out for ourselves that he was referring to the gate. The only positive experience was the lounge (which was a Lufthansa lounge, not a Discover one). Then came boarding. After scanning our tickets, we walked toward the aircraft, but the entrance to Business Class was still blocked because they weren’t ready. If they’re not ready, boarding shouldn’t start! There were passengers with mobility issues who had to stand and wait until they finally opened the section. The cabin crew was okay, but the welcome Prosecco was undrinkable. The salmon trout tataki appetizer was absolutely disgusting—it smelled awful. The plane itself was old, and the seats were extremely uncomfortable. If you’re tall or overweight, good luck. Breakfast was fine, but I’m still waiting for my apple juice. The lavatories weren’t great either—not at the level of other airlines. Overall, it was okay, but for the price, definitely not worth it. I can’t recommend it.",https://www.airlinequality.com/wp-content/uploads/2025/03/IMG_1345-500x500.jpeg,,Family Leisure,Business Class,Frankfurt to Windhoek,March 2025,1.0,2.0,1.0,1.0,,,1,no
12,Eastern Airways,2,"""treated passengers with disdain"" ",28th March 2025,False,"  Aircraft interior was decent, comfortable seats, some good legroom in front row seats. Cabin crew definitely needed a bit of polishing in terms of professionalism and customer service. The purser treated the passengers with disdain and loud conversations between cabin crew and the flight deck about non-related work ""banter"" gave a bad impression. Pilots were fairly jarring in cabin announcements blaming various other parties for delays, which also felt unprofessional. Shut the flight deck door if you're going to make phone calls about the location of the tug- the passengers don't need to hear.",,E170,Solo Leisure,Economy Class,Amsterdam to Southampton,March 2025,4.0,1.0,1.0,2.0,1.0,,2,no
13,easyJet,1,“Their entire conduct was unnecessary”,25th March 2025,True," I was stopped to check the size of my bag. I have used the same bag time and time again, it was purchased as a cabin bag to be within the size limits and I have measured it myself. I was shocked when the bag didn't fit in the sizing box. I explained that it has always fit before (including on the way out) and asked for someone to use a tape measure on it. My request was ignored and I was threatened that I wouldn't be boarding the plane, so I had to give in and pay. I have taken photos of my bag to show that it is within their given sizes and sent to to their customer service. They have responded to me, ignoring my evidence completely and just reiterated that the bag needs to fit into the holder. There is no mention of the fact that it is actually within size and their sizing box is incorrectly assembled. Also, I am autistic and to be dragged out and threatened that I wouldn't be getting on the plane, in front of all of the other passengers has caused me to have anxiety issues and take medication for it. I wasn't the only person that mentioned how rude the staff member was to them. Their entire conduct was unnecessary. I don't believe that one instance should impact on the reputation of the company, so I went to try to sort it with them first, before leaving a negative review, but it seems like their customer service is just as bad.",https://www.airlinequality.com/wp-content/uploads/2025/03/Airport-Bag-2-500x500.jpg,,Couple Leisure,Economy Class,Keflavik to Manchester,March 2025,4.0,5.0,5.0,1.0,2.0,1.0,2,no
14,Egyptair,1,“the seats were old and torn”,27th March 2025,True," Avoid this airline at any cost! Just pay extra and fly literally ANY other airline but not Egyptair. Our flight from Dar es Salaam to Cairo has to be the MOST annoying flight ever. The check in process was a nightmare. The aircraft was old like it seemed like it was from the 90's. No in flight entertainment system (it was a 6 Hour flight), the seats were old and torn, the tray was broken, the food was pathetic with the eggs smelling really bad and the aircraft was not cleaned (there were wrappers and used tissues in the seat pocket. The staff was friendly and nice. Do not fly this airline!",,Boeing 737-800,Couple Leisure,Economy Class,Dar es Salaam to Cairo,March 2025,1.0,5.0,1.0,2.0,,,2,no
15,Egyptair,1,“they made no effort to help”,26th March 2025,False," Avoid EgyptAir – A Disappointing Experience. I had a terrible experience with EgyptAir, and I’m sharing this so others are informed and, hopefully, the airline improves its service. My journey was from Mumbai to Dublin with a layover in Cairo. Here’s how it went: First Flight (Mumbai to Cairo – 6 h30 mins) Pros: The food was good. Cons: No cushions, no blankets, and no earphones for the in-flight entertainment. It was a long, uncomfortable, and boring flight. The cleanliness was also subpar. Layover: 2 hrs 30 mins Second Flight (Cairo to Dublin – 6 hrs 0 mins) Pros: The flight was cleaner than the first. Cons: No blankets, no cushions, and no in-flight service for the first 4 hours—strange and unprofessional! Worse, they did not serve me food. I had attempted online check-in twice to order vegetarian meals, but the system said check-in was only available at the desk. Onboard, when I requested a vegetarian meal, they simply denied my request, stating there was no special order. Even after explaining my situation, they made no effort to help or offer alternatives. The staff didn’t even know the ingredients of what they were serving except beef. I was left starving for the entire flight and felt completely ignored and unwelcome. Adding to the discomfort, the lack of blankets or cushions resulted in severe body pain. Other Disappointments: Unlike airlines such as Virgin Atlantic, British Airways, Etihad, or Swiss Air, the pilots here did not share any information about notable landmarks during the journey. Even after getting a window seat, I did not get a glimpse of the pyramids—a small touch that could have made the experience better. The first half of my journey lacked proper entertainment, and the second half left me hungry. Final Thoughts This is my personal experience and opinion, but I strongly advise choosing a better airline except visiting Egypt itself. A Cairo layover with EgyptAir is not worth it, no matter the extra baggage allowance (few extra Kilos) or a discounted price. You would be left with severe body pain and illness. All the best with your travels!",,,Solo Leisure,Economy Class,Mumbai to Dublin via Egypt,March 2025,1.0,2.0,2.0,1.0,2.0,2.0,2,no
16,Emirates,1,“The most unprofessional staff”,25th March 2025,True," The most unprofessional staff I’ve ever seen. Had to use Emirates as backup because Cathay Pacific delayed our flight. Maybe because of that seat selection was not available for us. That one I do not blame this airline on. But: We got two seats way back at the end of 777. Behind me was a man in his 50s. At the altitude I reclined my seat (not all the way back) and was prepared to get some sleep in this 6 hr flight. Immidiately I feel tap on my shoulder and some arguing that I have to raise my seat. He was arguing that he could not eat with my seat reclined. I tried to explain that my seat does not affect his table position, but really I feel like he just wanted more space. He was really unpleasant to talk to, it felt like there was only his needs and everyone around should just obey to that. English is not my native languge, so I finished the argument with ""ask the flight attendant"", I was sure that she can explain everything better than me. The man catches flight attendant, explains that he want me to raise my seat. She does not ask any questions, just stands up near me and commands ""raise your seat"" and proceeds with taking back of my seat and tries to raise it with force. No questions asked. With flight attendant fully on his side I even did not even try to argue. It felt really dengerous to even talk back to these people. Food was given 2 hours (!) after take off. After food serving nobody did not even try to provide us with any sort of bevereges. Again, that is on 6 hrs flight. Is that even legal? We had to catch flight attendant to ask for any water-like substance. How dare you to ask me about upgrades to premium economy or business if you fail to provide any basic service for economy? Or does Emirates starts to provide basic service starting from business? It is logical to just use better airlines instead. It is a level lower than any low-cost airline in the Eastern Europe. I am a frequent flyer and did not expect something like that at the price that I paid. It is by far my worst flight expirience. My family and friends will never use Emirates ever again.",,Boeing 777,Couple Leisure,Economy Class,Phuket to Dubai,March 2025,1.0,1.0,1.0,2.0,3.0,1.0,1,no
17,Ethiopian Airlines,3,"""seats were in a standard row""",28th March 2025,True,"   Flight ET718 from Addis Ababa to Gatwick on 27th March. We had booked and paid £100 for extra legroom seats which was confirmed on our ticket. Checked in and got boarding pass with same seat numbers. However, on boarding, discovered the seats were in a standard row. It appears our earlier booking used a seat plan for Boeing 787-8 (exit row 28) whereas Ethiopian airlines switched aircraft to Boeing 787-9 (exit row 30). Surely when the boarding passes were printed the booking system should reallocate us to our requested legroom seats. What a shambles. Two other passengers on our flight also got bumped into standard seats. We have also had previous problems using the Ethiopian airlines website (paid twice for same seat reservation). Seems their IT System is flakey and unreliable. Pity because the flight staff seemed mostly helpful and organised.",,Boeing 787-9,Couple Leisure,Economy Class,Addis Ababa to London Gatwick,March 2025,1.0,4.0,2.0,3.0,2.0,,2,no
18,Ethiopian Airlines,1,"""a complete disaster""",22nd March 2025,False,"  Our flight from Addis Ababa to Frankfurt on January 20 was a complete disaster. When we got to our seats, a woman with a child was sitting in one of them and refused to move. She claimed the flight attendants told her she could take the seat for her child. Instead of resolving the issue, the crew did nothing, and we had to argue, wave our boarding passes in their faces, and fight for the seats we had paid for. And that was just the beginning: my food was disgusting. The crew ignored complaints.",,,Couple Leisure,Economy Class,Addis Ababa to Frankfurt,January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1,no
19,Etihad Airways,3,"""A very disengaged attitude""",26th March 2025,False,"  Return to BKK - Business Class flights both on time. Ground crew have the customer care skills second to a Military sergeant, rude, disengaged and flippant. Seats requested were honored. Plane was clean and was quite smooth. Food below expectations, menus are now clearly on the cost cutting plan. Soup / Chicken thighs and ice cream or cheese. Wines like others have mentioned are low quality. Champagne is worth avoiding and not palatable. Last but not least the cabin Crew obviously do the very basics are not proactive and had to be called each time. Too busy sitting and chatting in the galley than ensuring any passenger may want something. A very disengaged attitude and lacked any polish or personal engagement skills. Robotic",,Boeing 787,Couple Leisure,Business Class,Abu Dhabi to Bangkok,March 2025,4.0,1.0,1.0,1.0,4.0,,2,no
20,Fiji Airways,8,"""attentiveness and kindness of the crew""",28th March 2025,True,"   Returning from my honeymoon to Mexico, we flew via Qantas business on the way there and now our return trip is with Fiji Airways. We have just finished the first leg and I’m writing this while enjoying the Nadi business class lounge. The flight was amazing. I had my reservations because I’m aware Fiji airways doesn’t provide pyjamas and their menu and offerings are a little more restrictive than that of Qantas, but I felt compelled to write a review because of just how great Fiji Airways were. The cabin crew were the most attentive I have ever experienced and they memorize everyone’s names. Even when you’re not in your seat, walking to get a snack or to go to the bathroom they were calling me by name asking me how my flight is and if I want a snack. Comparatively, on my Qantas business class flight, the cabin crew don’t speak to you unless they have to. The seats were comfortable and felt nice and private. When I went to make my bed, crew ran to me to do it for me. The pillow is nice and full, they give you a mattress cover for your seat and a nice full doona as well as a blanket. They served Mumm on board as the champagne which is a personal fav so that gets extra marks. The food was not as good as Qantas. But it was not bad. I enjoyed the pumpkin and ginger soup a lot. Was probably the highlight of the meal. As my main I opted for the Fijian bbq chicken. The potato rostis were a little mealie, the chicken was flavorful although a little tough. The passionfruit mousse was alright but nothing to ring home about. The fruit plate had a nice selection of grapes, blackberries, raspberries, pineapple, rockmelon and honeydew. I also opted for the standard brekky which consisted of an omelette, tomato, a chicken sausage. I’m not a breakfast person but it was ok. Another comparison to Qantas - no barista style coffee on board. So I had to settle for an American style coffee which I’m not a big fan of. The entertainment system is really functional but needs a bigger selection of new movies. Wasn’t a whole lot on there that I was too keen to watch, but I made do. Overall, the flight was really comfortable and I would definitely fly and recommend Fiji Airways. The attentiveness and kindness of the crew really made the flight.",https://www.airlinequality.com/wp-content/uploads/2025/03/IMG_7390-500x500.jpeg,A350,Couple Leisure,Business Class,Los Angeles to Nadi,March 2025,5.0,5.0,3.0,5.0,3.0,4.0,5,yes
21,flydubai,1,"""Avoid this airline at all costs""",27th March 2025,True,"   Avoid this airline at all costs. I booked and was unable to book baggage online 24 hours in advance. When I got there , to check in a bag is the cost of a flight 1000 AED. There was no other options, non refundable so I ran in circles for 3 hours figuring out what to do with my luggage. In the end I chose storage for half the price and traveled without my stuff , only to have to return to grab it after the trip. It’s a total scam.",,,Solo Leisure,Economy Class,Dubai to Tashkent,March 2025,1.0,1.0,2.0,1.0,3.0,1.0,1,no
22,flydubai,3,"""demanded a fee for my laptop bag""",24th March 2025,True,"  During my transit in Dubai on a Riyadh to Multan flight, their staff demanded a fee for my laptop bag, claiming only one hand-carry was allowed. When I resisted and asked for a supervisor, they changed their tone, acting as if there was no issue. This kind of behavior is unacceptable and feels like an attempt to exploit passengers. I do not recommend Flydubai for South Asian destinations!",,,Solo Leisure,Economy Class,Riyadh to Multan via Dubai,March 2025,2.0,4.0,4.0,2.0,3.0,,3,no
23,flydubai,4,"""very poor customer service"" ",22nd March 2025,True,"   Flight FZ 708 on February 2nd 2025 between Baku and Dubai and I was provided with very poor customer service by the flight attendants. One was very arrogant and needs more customer service training in how to be courteous to passengers. The toilets were not clean, and they did not provide sufficient assistance to passengers when necessary.",,,Business,Economy Class,Baku to Dubai,February 2025,1.0,1.0,3.0,2.0,1.0,1.0,4,no
24,French Bee,1,“What a colossal mistake!”,22nd March 2025,True," We recently flew French Bee from Miami to Paris Orly, lured by the promise of lower fares compared to our usual airline. What a colossal mistake! First, their website is painfully slow and not user-friendly—just booking tickets felt like a chore. At Miami Airport, check-in was disorganized and stressful. We brought an extra checked bag, knowing there’d be a fee, but were shocked when we were charged a whopping $140 for it! Once on board, we were stunned by the narrowest seats we've ever experienced on an international flight—truly uncomfortable, with hard bottoms and barely any room. And we are not large people. Anyone taller or broader than average, beware. The cabin crew were unfriendly and dismissive. Food options were terrible, portions ridiculously small, and everything else—from a coffee to a blanket—came with extra fees. Want a basic cup of coffee? That’ll be €2.50. Unreal. On our return flight, things went from bad to outrageous. We had the exact same carry-ons we flew out with—1 rolling bag, 1 backpack, 1 tote handbag between the two of us, all within the airline's published limits. But at boarding, we and 8 other passengers were stopped, scolded, and told we’d have to pay $240 or we wouldn’t be allowed on the plane. When we tried to explain we were within limits, the gate staff became aggressive—my husband was pushed by one of them and told, ""Pay now or you don't fly."" It was blatant extortion, and all of us were furious and shocked. In the end, we were forced to pay under pressure just to get home. Once back on board, the same cramped seats and bad service greeted us again. We’ve never felt so mistreated by an airline. The bullying, hidden fees, and lack of professionalism make French Bee a complete disgrace. We will never fly with them again, and we strongly urge others to stay far away. If saving a few bucks means being treated like cargo, it’s just not worth it.",,,Couple Leisure,Economy Class,Miami to Paris ,March 2025,1.0,1.0,1.0,1.0,1.0,1.0,1,no
